web-1  | [05/May/2026 11:44:12] "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 304 0
web-1  | [05/May/2026 11:44:12] "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 304 0
web-1  | [05/May/2026 11:44:12] "GET /static/admin/img/icon-viewlink.svg HTTP/1.1" 304 0
web-1  | [05/May/2026 11:44:42] "GET /admin/shopify_sync/shopifyorder/339/change/ HTTP/1.1" 200 142317
web-1  | [05/May/2026 11:44:42] "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 304 0
web-1  | [05/May/2026 11:44:42] "GET /static/admin/js/admin/DateTimeShortcuts.js HTTP/1.1" 304 0
web-1  | [05/May/2026 11:44:42] "GET /static/admin/js/calendar.js HTTP/1.1" 200 9141
web-1  | [05/May/2026 11:44:42] "GET /static/admin/js/inlines.js HTTP/1.1" 200 15628
web-1  | [05/May/2026 11:44:42] "GET /admin/jsi18n/ HTTP/1.1" 200 3342
web-1  | [05/May/2026 11:44:42] "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 304 0
web-1  | [05/May/2026 11:44:42] "GET /static/admin/js/change_form.js HTTP/1.1" 304 0
web-1  | [05/May/2026 11:44:42] "GET /static/admin/img/icon-deletelink.svg HTTP/1.1" 200 392
web-1  | [05/May/2026 11:44:42] "GET /static/admin/img/icon-calendar.svg HTTP/1.1" 304 0
web-1  | [05/May/2026 11:44:42] "GET /static/admin/img/icon-clock.svg HTTP/1.1" 304 0
web-1  | [05/May/2026 11:44:42] "GET /favicon.ico HTTP/1.1" 404 179
web-1  | [05/May/2026 11:44:46] "GET /admin/shopify_sync/shopifyorder/ HTTP/1.1" 200 179598
web-1  | [05/May/2026 11:44:52] "GET /admin/shopify_sync/shopifyorder/334/change/ HTTP/1.1" 200 142066
web-1  | [05/May/2026 11:44:52] "GET /admin/jsi18n/ HTTP/1.1" 200 3342
web-1  | [05/May/2026 11:45:03] "GET /admin/shopify_sync/shopifyproduct/73/change/ HTTP/1.1" 200 30165
web-1  | [05/May/2026 11:45:04] "GET /admin/jsi18n/ HTTP/1.1" 200 3342
web-1  | [05/May/2026 11:45:16] "GET /admin/shopify_sync/shopifyproduct/73/change/ HTTP/1.1" 200 30165
web-1  | [05/May/2026 11:46:46] "GET /admin/shopify_sync/settlementbatch/ HTTP/1.1" 200 14237
web-1  | [05/May/2026 11:46:46] "GET /admin/jsi18n/ HTTP/1.1" 200 3342
web-1  | [05/May/2026 11:46:47] "GET /admin/shopify_sync/shippingcostrule/ HTTP/1.1" 200 17891
web-1  | [05/May/2026 11:46:47] "GET /admin/jsi18n/ HTTP/1.1" 200 3342
web-1  | [05/May/2026 11:46:48] "GET /admin/shopify_sync/shopifyinstallation/ HTTP/1.1" 200 14737
web-1  | [05/May/2026 11:46:48] "GET /admin/jsi18n/ HTTP/1.1" 200 3342
web-1  | [05/May/2026 11:47:22] "GET /admin/shopify_sync/shopifyorder/ HTTP/1.1" 200 179598
web-1  | [05/May/2026 11:47:22] "GET /admin/jsi18n/ HTTP/1.1" 200 3342
web-1  | [05/May/2026 11:51:10] "GET /admin/shopify_sync/shopifyorder/ HTTP/1.1" 200 179598
web-1  | [05/May/2026 11:51:16] "GET /admin/shopify_sync/shopifyorder/ HTTP/1.1" 200 179598
web-1  | [05/May/2026 11:51:16] "GET /admin/jsi18n/ HTTP/1.1" 200 3342
web-1  | [05/May/2026 12:08:54] "GET /admin/tickets/ticket/ HTTP/1.1" 200 40216
web-1  | [05/May/2026 12:08:55] "GET /admin/jsi18n/ HTTP/1.1" 200 3342
web-1  | [05/May/2026 12:08:57] "GET /admin/jsi18n/ HTTP/1.1" 200 3342
web-1  | [05/May/2026 12:09:31] "GET /admin/tickets/ticketcomment/ HTTP/1.1" 200 71587
